date,Portfolio 1_balance,benchmark_balance
2021-07-31,59860.58111863483,51764.824237399385
2021-08-31,61115.24649176325,53305.32286573639
2021-09-30,58530.15026966049,50821.0137094992
2021-10-31,61376.8950136169,54386.792102836596
2021-11-30,61536.6033230117,53949.81030684604
2021-12-31,63179.90518678608,56444.85802957902
2022-01-31,60070.65164587083,53467.885335930456
2022-02-28,59817.03580966708,51889.678381667945
2022-03-31,61314.71093094956,53840.23530026212
2022-04-30,56559.31707537842,49114.73027012446
2022-05-31,55809.96926131172,49225.58881678129
2022-06-30,52627.51420157442,45166.433808214235
2022-07-31,55810.33919468641,49325.689524568836
2022-08-31,53560.015019663886,47313.106399208504
2022-09-30,49664.066528552314,42939.20269612794
2022-10-31,51132.87817439768,46429.11731854986
2022-11-30,54323.45263718835,49010.17378959134
2022-12-31,52312.098119881666,46185.807458003794
2023-01-31,56060.45606781943,49090.300609517704
2023-02-28,54491.007627885956,47856.04770452058
2023-03-31,58145.76899313366,49630.44742067706
2023-04-30,58710.83003793381,50423.289738260915
2023-05-31,59859.914738306834,50656.04990157115
2023-06-30,61681.58448618844,53938.559095216006
2023-07-31,63384.89466054925,55704.139773274
2023-08-31,62504.552285368714,54798.83159308617
2023-09-30,59573.683276124706,52199.485639624516
2023-10-31,60019.32139522146,51066.300915562984
2023-11-30,64341.2011054173,55730.88982764618
2023-12-31,66791.0673646202,58275.30180777751
2024-01-31,67194.4687870125,59203.42847815026
2024-02-29,69263.5577803639,62293.067467086854
2024-03-31,72059.9803734872,64330.1689059719
2024-04-30,70663.56486300364,61736.4042318663
2024-05-31,73510.33817630919,64859.014397330226
2024-06-30,75774.99141701825,67147.23871696484
2024-07-31,77108.42359800378,67960.3401535372
2024-08-31,78492.03748749486,69548.27580192585
2024-09-30,80910.78848986927,71009.0985838756
2024-10-31,81253.8277409225,70375.4460711291
2024-11-30,83333.19626681597,74572.17499045293
2024-12-31,82304.79382722701,72777.97098332176
