date,portfolio,ticker,cumulative_active_contribution
2023-08-31,Balanced 50/50,QQQ,0.11844754070204111
2023-09-30,Balanced 50/50,QQQ,0.11676540109508327
2023-10-31,Balanced 50/50,QQQ,0.11729219839733618
2023-11-30,Balanced 50/50,QQQ,0.12571452059726307
2023-12-31,Balanced 50/50,QQQ,0.13082157078305212
2024-01-31,Balanced 50/50,QQQ,0.13195449836106232
2024-02-29,Balanced 50/50,QQQ,0.1322777292530427
2024-03-31,Balanced 50/50,QQQ,0.12230161157602071
2024-04-30,Balanced 50/50,QQQ,0.12059254097521405
2024-05-31,Balanced 50/50,QQQ,0.12606179472766393
2024-06-30,Balanced 50/50,QQQ,0.14077240553727294
2024-07-31,Balanced 50/50,QQQ,0.12632730425842914
2024-08-31,Balanced 50/50,QQQ,0.12016383572088102
2024-09-30,Balanced 50/50,QQQ,0.1227694846978224
2024-10-31,Balanced 50/50,QQQ,0.12290810739992925
2024-11-30,Balanced 50/50,QQQ,0.11984556127456264
2024-12-31,Balanced 50/50,QQQ,0.1341457840962994
2025-01-31,Balanced 50/50,QQQ,0.13153451958059403
2025-02-28,Balanced 50/50,QQQ,0.12436463080611942
2025-03-31,Balanced 50/50,QQQ,0.1142933878038287
2025-04-30,Balanced 50/50,QQQ,0.12561253819422624
2025-05-31,Balanced 50/50,QQQ,0.14008154941815332
2025-06-30,Balanced 50/50,QQQ,0.14631749089108093
2025-07-31,Balanced 50/50,QQQ,0.14692028390514433
2025-08-31,Balanced 50/50,QQQ,0.14143039680363967
2025-09-30,Balanced 50/50,QQQ,0.15050133176197733
2025-10-31,Balanced 50/50,QQQ,0.16248449344348692
2025-11-30,Balanced 50/50,QQQ,0.1537042833029733
2025-12-31,Balanced 50/50,QQQ,0.15036018133114443
2020-01-31,Balanced 50/50,GLD,0.022700286253580337
2020-02-29,Balanced 50/50,GLD,0.05910215778094158
2020-03-31,Balanced 50/50,GLD,0.12042584010681473
2020-04-30,Balanced 50/50,GLD,0.09323928669013565
2020-05-31,Balanced 50/50,GLD,0.08235740988062384
2020-06-30,Balanced 50/50,GLD,0.08717878367240145
2020-07-31,Balanced 50/50,GLD,0.11168513167466726
2020-08-31,Balanced 50/50,GLD,0.07516890186167186
2020-09-30,Balanced 50/50,GLD,0.07303356739727346
2020-10-31,Balanced 50/50,GLD,0.08290331307038978
2020-11-30,Balanced 50/50,GLD,0.0014718729702314914
2020-12-31,Balanced 50/50,GLD,0.018016900665760394
2021-01-31,Balanced 50/50,GLD,0.006993086018075134
2021-02-28,Balanced 50/50,GLD,-0.0381942198260215
2021-03-31,Balanced 50/50,GLD,-0.06661031446383259
2021-04-30,Balanced 50/50,GLD,-0.07524861716316156
2021-05-31,Balanced 50/50,GLD,-0.040139755079038664
2021-06-30,Balanced 50/50,GLD,-0.08709175234549754
2021-07-31,Balanced 50/50,GLD,-0.0866494381240333
2021-08-31,Balanced 50/50,GLD,-0.10191199186581124
2021-09-30,Balanced 50/50,GLD,-0.09472698637783972
2021-10-31,Balanced 50/50,GLD,-0.1224100508798801
2021-11-30,Balanced 50/50,GLD,-0.12184302526038887
2021-12-31,Balanced 50/50,GLD,-0.12847143139122946
2022-01-31,Balanced 50/50,GLD,-0.11049454516411977
2022-02-28,Balanced 50/50,GLD,-0.06512753181203895
2022-03-31,Balanced 50/50,GLD,-0.07755989513805012
2022-04-30,Balanced 50/50,GLD,-0.04402686373116621
2022-05-31,Balanced 50/50,GLD,-0.061463208995266916
2022-06-30,Balanced 50/50,GLD,-0.028062788723489163
2022-07-31,Balanced 50/50,GLD,-0.08704734193096109
2022-08-31,Balanced 50/50,GLD,-0.08136306091235251
2022-09-30,Balanced 50/50,GLD,-0.04958097245826848
2022-10-31,Balanced 50/50,GLD,-0.09914089809567583
2022-11-30,Balanced 50/50,GLD,-0.08447732186452239
2022-12-31,Balanced 50/50,GLD,-0.04100995772086535
2023-01-31,Balanced 50/50,GLD,-0.04365736633240336
2023-02-28,Balanced 50/50,GLD,-0.05792398226441142
2023-03-31,Balanced 50/50,GLD,-0.03688227125980148
2023-04-30,Balanced 50/50,GLD,-0.040557930618342564
2023-05-31,Balanced 50/50,GLD,-0.04957597628530369
2023-06-30,Balanced 50/50,GLD,-0.09308276570368706
2023-07-31,Balanced 50/50,GLD,-0.09800610938309012
2023-08-31,Balanced 50/50,GLD,-0.09626881731997783
2023-09-30,Balanced 50/50,GLD,-0.09635461387840355
2023-10-31,Balanced 50/50,GLD,-0.048638262368563834
2023-11-30,Balanced 50/50,GLD,-0.08165324792422446
2023-12-31,Balanced 50/50,GLD,-0.09807038924045675
2024-01-31,Balanced 50/50,GLD,-0.11314763965423791
2024-02-29,Balanced 50/50,GLD,-0.13695934688039113
2024-03-31,Balanced 50/50,GLD,-0.10996867584918701
2024-04-30,Balanced 50/50,GLD,-0.07486137493237488
2024-05-31,Balanced 50/50,GLD,-0.0920566010968753
2024-06-30,Balanced 50/50,GLD,-0.11037014815404533
2024-07-31,Balanced 50/50,GLD,-0.08958872466491297
2024-08-31,Balanced 50/50,GLD,-0.09081029207152724
2024-09-30,Balanced 50/50,GLD,-0.07586836802991614
2024-10-31,Balanced 50/50,GLD,-0.049909854935037135
2024-11-30,Balanced 50/50,GLD,-0.09534719194333102
2024-12-31,Balanced 50/50,GLD,-0.0903614006410417
2025-01-31,Balanced 50/50,GLD,-0.06986158717657287
2025-02-28,Balanced 50/50,GLD,-0.054406047071061836
2025-03-31,Balanced 50/50,GLD,0.020686537836538565
2025-04-30,Balanced 50/50,GLD,0.05214380781748945
2025-05-31,Balanced 50/50,GLD,0.020441493140678557
2025-06-30,Balanced 50/50,GLD,-0.0032259623699066875
2025-07-31,Balanced 50/50,GLD,-0.017808961157686265
2025-08-31,Balanced 50/50,GLD,-0.0031313908361459974
2025-09-30,Balanced 50/50,GLD,0.03785051874896206
2025-10-31,Balanced 50/50,GLD,0.04372506385826125
2025-11-30,Balanced 50/50,GLD,0.06958919443883049
2025-12-31,Balanced 50/50,GLD,0.07964793590698671
