point,sharpe,expected_return_pct,volatility_pct,weight_QQQ_pct,weight_SPMO_pct,weight_GDX_pct,weight_GLD_pct,weight_SLV_pct,weight_AIA_pct,weight_XLE_pct
56,1.0820969506645155,18.26236780528149,14.699623536979162,30.19279070008054,42.46501671256623,10.961778764886642,16.380413822466576,0.0,0.0,0.0
57,1.0806280871475857,18.30364911504388,14.757805488046541,30.371906491902422,42.52635107590691,11.227327804603158,15.874414627587516,0.0,0.0,0.0
58,1.0791596481761065,18.34493042480627,14.81613999543935,30.55102228372448,42.58768543924745,11.492876844319715,15.368415432708357,0.0,0.0,0.0
59,1.0776918039775103,18.386211734568658,14.874625264296046,30.730138075546247,42.64901980258824,11.758425884036235,14.862416237829274,0.0,0.0,0.0
60,1.0762247196793728,18.427493044331055,14.933259523270436,30.909253867368196,42.710354165928884,12.023974923752787,14.35641704295013,0.0,0.0,0.0
61,1.0747585554248758,18.46877435409344,14.992041024250033,31.088369659190125,42.77168852926952,12.289523963469325,13.850417848071025,0.0,0.0,0.0
62,1.0732934664864329,18.510055663855834,15.050968042075594,31.267485451012018,42.83302289261022,12.555073003185873,13.344418653191894,0.0,0.0,0.0
63,1.071829603377476,18.55133697361823,15.110038874261766,31.44660124283402,42.8943572559508,12.820622042902432,12.838419458312735,0.0,0.0,0.0
64,1.0703671119623897,18.59261828338062,15.169251840719056,31.625717034655874,42.955691619291485,13.08617108261896,12.332420263433667,0.0,0.0,0.0
65,1.0689061335645935,18.633899593143006,15.228605283477245,31.804832826477885,43.017025982632035,13.351720122335479,11.826421068554591,0.0,0.0,0.0
66,1.0674468050727666,18.6751809029054,15.288097566410286,31.983948618299802,43.07836034597272,13.617269162052034,11.320421873675448,0.0,0.0,0.0
67,1.0659892590452187,18.716462212667796,15.34772707496276,32.16306441012164,43.139694709313474,13.882818201768599,10.814422678796284,0.0,0.0,0.0
68,1.064533623812405,18.757743522430186,15.407492215878147,32.34218020194355,43.201029072654144,14.14836724148513,10.30842348391717,0.0,0.0,0.0
69,1.0630800235775966,18.79902483219258,15.467391416928795,32.521295993765555,43.26236343599472,14.413916281201674,9.802424289038054,0.0,0.0,0.0
70,1.0616285785157071,18.84030614195497,15.527423126647749,32.70041178558749,43.32369779933536,14.67946532091822,9.296425094158922,0.0,0.0,0.0
71,1.0601794048702868,18.881587451717362,15.58758581406255,32.87952757740935,43.385032162676076,14.945014360634756,8.790425899279821,0.0,0.0,0.0
72,1.0587326150486902,18.922868761479755,15.647877968431015,33.058643369231234,43.446366526016774,15.210563400351292,8.284426704400712,0.0,0.0,0.0
73,1.0572883177154349,18.964150071242152,15.708298098979077,33.237759161053255,43.50770088935734,15.476112440067864,7.778427509521542,0.0,0.0,0.0
