point,ex_ante_sharpe,ex_post_sharpe,expected_return_pct,volatility_pct,maximum_drawdown_pct,mdd_depth_pct,tuw_pct,pain_area_pct_months,pain_index_pct,max_underwater_months,observations,delta_sharpe,delta_mdd_depth_pct,delta_tuw_pct,delta_pain_index_pct,mdd_cost_per_0_10_sharpe,tuw_cost_per_0_10_sharpe,pain_cost_per_0_10_sharpe,segment
27,1.3305184812653166,1.330518481265317,18.44534149660853,10.977569228574518,-10.508368367012777,10.508368367012777,49.074074074074076,147.4230440423846,1.3650281855776352,8,108,0.0016640756437988902,0.0497399505474565,-0.9259259259259238,0.0043017164103740235,2.989043841414926,-55.64205746153121,0.2585048598243832,gmv_to_max_sharpe
28,1.3320751899922725,1.3320751899922723,18.504577402257,11.00920935530778,-10.558124751671139,10.558124751671139,50.0,148.12474456899554,1.3715254126758847,8,108,0.001556708726955236,0.04975638465836241,0.9259259259259238,0.006497227098249514,3.1962552657927756,59.479715754978834,0.4173694786793821,gmv_to_max_sharpe
29,1.3335259533216222,1.3335259533216224,18.563813307905463,11.041652779691749,-10.607897570440361,10.607897570440361,48.148148148148145,149.04441359551447,1.380040866625134,8,108,0.0014507633293501243,0.04977281876922213,-1.8518518518518547,0.008515453949249352,3.430802099989533,-127.64672323785574,0.5869636884924494,gmv_to_max_sharpe
30,1.3348722375669864,1.3348722375669861,18.623049213553927,11.074892442050189,-10.657686823320445,10.657686823320445,47.22222222222222,150.0998754645485,1.3898136617087824,8,108,0.0013462842453637602,0.04978925288008362,-0.9259259259259238,0.009772795083648367,3.698271969797194,-68.77640655118435,0.7259087460395706,gmv_to_max_sharpe
31,1.3361155507430122,1.3361155507430122,18.682285119202387,11.10892119497272,-10.707492510311422,10.707492510311422,47.22222222222222,151.2131206482811,1.4001214874840842,8,108,0.0012433131760261062,0.049805686990977094,0.0,0.01030782577530176,4.005884273676458,0.0,0.8290610904846811,gmv_to_max_sharpe
32,1.337257439491625,1.3372574394916257,18.74152102485085,11.143731809707004,-10.757314631413273,10.757314631413273,47.22222222222222,152.3257028443882,1.410423174485076,8,108,0.0011418887486134288,0.049822121101851025,0.0,0.010301687000991766,4.363132674908039,0.0,0.9021620550601699,gmv_to_max_sharpe
33,1.3382994860358328,1.338299486035833,18.800756930499315,11.179316982475504,-10.807153186626017,10.807153186626017,47.22222222222222,153.4376221174651,1.4207187233098622,8,108,0.0010420465442073645,0.049838555212744495,0.0,0.010295548824786227,4.782757112894062,0.0,0.988012376416215,gmv_to_max_sharpe
34,1.3392433051686057,1.3392433051686057,18.85999283614778,11.215669340707336,-10.8570081759496,10.8570081759496,47.22222222222222,154.54887853217843,1.4310081345572077,8,108,0.0009438191327726386,0.0498549893235829,0.0,0.010289411247345503,5.282260932465407,0.0,1.09018888154116,gmv_to_max_sharpe
35,1.3400905412838444,1.3400905412838444,18.91922874179625,11.252781449176364,-10.906879599384078,10.906879599384078,46.2962962962963,155.68181995181683,1.4414983328871929,8,108,0.0008472361152387364,0.049871423434478146,-0.9259259259259238,0.010490198329985212,5.886366567414947,-109.28782535019934,1.2381670400144895,gmv_to_max_sharpe
36,1.3408428654559787,1.3408428654559783,18.97846464744471,11.290645816037308,-10.956767456929416,10.956767456929416,48.148148148148145,156.87546491173782,1.4525506010346094,8,108,0.0007523241721338891,0.049887857545337866,1.8518518518518476,0.011052268147416555,6.631165047354009,246.15078452142018,1.469083216622955,gmv_to_max_sharpe
37,1.341501972574238,1.341501972574238,19.03770055309317,11.329254898752245,-11.006671748585628,11.006671748585628,47.22222222222222,158.098731611856,1.4638771445542222,8,108,0.000659107118259783,0.0499042916562118,-0.9259259259259238,0.01132654351961282,7.5714994230334405,-140.48185799762157,1.718467788592223,gmv_to_max_sharpe
38,1.342069578537135,1.3420695785371355,19.096936458741634,11.36860110990048,-11.056592474352755,11.056592474352755,47.22222222222222,159.34652996620537,1.47543083302042,8,108,0.0005676059628973995,0.049920725767126584,0.0,0.011553688466197753,8.79496147508765,0.0,2.035512172426948,gmv_to_max_sharpe
39,1.342547417512211,1.342547417512211,19.1561723643901,11.408676822865436,-11.10652963423071,11.10652963423071,47.22222222222222,160.59366497294207,1.4869783793790932,8,108,0.000477838975075473,0.049937159877956105,0.0,0.011547546358673166,10.45062510233049,0.0,2.416618769293416,gmv_to_max_sharpe
40,1.3429372392655932,1.3429372392655936,19.21540827003856,11.44947437739268,-11.15648322821956,11.15648322821956,47.22222222222222,161.84013669813234,1.4985197842419662,8,108,0.00038982175338264646,0.049953593988849576,0.0,0.011541404862873028,12.814470602366681,0.0,2.9606877406720966,gmv_to_max_sharpe
41,1.3432403510032371,1.3432403510032371,19.274644175687023,11.490989982200986,-11.208420791408646,11.208420791408646,48.148148148148145,163.04321280433214,1.5096593778178902,8,108,0.0003031117376435244,0.05193756318908527,0.9259259259259238,0.011139593575923978,17.13479114760202,305.47346438126465,3.6750782607517287,gmv_to_max_sharpe
42,1.3434450472103805,1.3434450472103803,19.33388008133549,11.533331679541648,-11.267731612993238,11.267731612993238,48.148148148148145,163.96457736346343,1.51819053114318,8,108,0.00020469620714314019,0.05931082158459233,0.0,0.008531153325289864,28.975046686193554,0.0,4.16771441169117,gmv_to_max_sharpe
