portfolio,rank,date,month_since_bottom,recovery_progress_pct,drawdown,maximum_drawdown,recovered
provided,5,2022-10-31,4,100.0,0.0,-0.068494520621463,True
provided,6,2018-03-31,0,0.0,-0.05658850303027696,-0.05658850303027696,True
provided,6,2018-04-30,1,36.71212149629775,-0.03581366304486555,-0.05658850303027696,True
provided,6,2018-05-31,2,84.81001687114959,-0.008595784063168077,-0.05658850303027696,True
provided,6,2018-06-30,3,100.0,0.0,-0.05658850303027696,True
provided,7,2022-12-31,0,0.0,-0.05264551111127147,-0.05264551111127147,True
provided,7,2023-01-31,1,39.5332312357725,-0.031833039468398217,-0.05264551111127147,True
provided,7,2023-02-28,2,54.603575353078284,-0.023899179781615154,-0.05264551111127147,True
provided,7,2023-03-31,3,100.0,0.0,-0.05264551111127147,True
provided,8,2025-04-30,0,0.0,-0.045627724569265005,-0.045627724569265005,True
provided,8,2025-05-31,1,37.48147412723375,-0.028525780789990463,-0.045627724569265005,True
provided,8,2025-06-30,2,100.0,0.0,-0.045627724569265005,True
provided,9,2019-05-31,0,0.0,-0.036016521950592795,-0.036016521950592795,True
provided,9,2019-06-30,1,100.0,0.0,-0.036016521950592795,True
provided,10,2023-05-31,0,0.0,-0.035998887652758826,-0.035998887652758826,True
provided,10,2023-06-30,1,100.0,0.0,-0.035998887652758826,True
provided,11,2023-10-31,0,0.0,-0.027408309954349064,-0.027408309954349064,True
provided,11,2023-11-30,1,70.49922935209146,-0.008085662658100401,-0.027408309954349064,True
provided,11,2023-12-31,2,100.0,0.0,-0.027408309954349064,True
provided,12,2017-03-31,0,0.0,-0.02236892048336936,-0.02236892048336936,True
provided,12,2017-04-30,1,87.45454037560742,-0.0028062838876535823,-0.02236892048336936,True
provided,12,2017-05-31,2,94.72028492538423,-0.0011810152667892648,-0.02236892048336936,True
provided,12,2017-06-30,3,100.0,0.0,-0.02236892048336936,True
provided,13,2016-01-31,0,0.0,-0.021572047323175747,-0.021572047323175747,True
provided,13,2016-02-29,1,100.0,0.0,-0.021572047323175747,True
provided,14,2024-08-31,0,0.0,-0.02114593672974241,-0.02114593672974241,True
provided,14,2024-09-30,1,78.56758654529705,-0.004532084588788288,-0.02114593672974241,True
provided,14,2024-10-31,2,100.0,0.0,-0.02114593672974241,True
provided,15,2017-11-30,0,0.0,-0.019550869402383153,-0.019550869402383153,True
provided,15,2017-12-31,1,55.899459161644394,-0.008622039145051552,-0.019550869402383153,True
provided,15,2018-01-31,2,100.0,0.0,-0.019550869402383153,True
provided,16,2016-03-31,0,0.0,-0.01486679649855649,-0.01486679649855649,True
provided,16,2016-04-30,1,100.0,0.0,-0.01486679649855649,True
provided,17,2021-09-30,0,0.0,-0.010918665611720169,-0.010918665611720169,True
provided,17,2021-10-31,1,100.0,0.0,-0.010918665611720169,True
provided,18,2016-08-31,0,0.0,-0.00885351323686212,-0.00885351323686212,True
provided,18,2016-09-30,1,87.8532056467178,-0.0010754180459222606,-0.00885351323686212,True
provided,18,2016-10-31,2,100.0,0.0,-0.00885351323686212,True
provided,19,2026-03-31,0,0.0,-0.006972394412744776,-0.006972394412744776,True
provided,19,2026-04-30,1,100.0,0.0,-0.006972394412744776,True
provided,20,2019-10-31,0,0.0,-0.006795266555146839,-0.006795266555146839,True
provided,20,2019-11-30,1,100.0,0.0,-0.006795266555146839,True
