date,optimized,optimized,provided,provided
,36m,60m,36m,60m
2022-10-31,0.10429437559683574,0.11323333977341554,0.04712059444344985,0.05399313969721842
2022-11-30,0.11679513199690716,0.12201059122576008,0.07616589323966982,0.07225507498573136
2022-12-31,0.0822777618270758,0.10638442480304988,0.04757739091455693,0.05932044081950205
2023-01-31,0.10310755440194352,0.10971718606262537,0.08030171593223878,0.06777933904700917
2023-02-28,0.11720586505494968,0.1101848064905182,0.07685576090684032,0.06690931333388073
2023-03-31,0.1746143707735075,0.13248787180599408,0.12651161242331344,0.0821054945469959
2023-04-30,0.13174209907524537,0.13401632748429337,0.08945979363891321,0.08157170751449838
2023-05-31,0.126555991367014,0.13502372672801077,0.0787994674994894,0.07897945563356568
2023-06-30,0.1285833317567715,0.14547324064627487,0.0746495667081073,0.0902111004385413
2023-07-31,0.11388718586930957,0.14823951588321793,0.06580984254417643,0.09808550114326953
2023-08-31,0.08158340629048699,0.13696053247952156,0.03389724921796322,0.08785690802456725
2023-09-30,0.08130333016125979,0.12573176686823784,0.02642498915112146,0.0765841328141128
2023-10-31,0.08885525382495407,0.13914431068201139,0.02382943686874861,0.08817112468448784
2023-11-30,0.09129051256288312,0.15722755633967433,0.02381820595646822,0.10135102129187534
2023-12-31,0.08971459126503323,0.18236012486829423,0.022602653510789494,0.1212729076834449
2024-01-31,0.09674980759900165,0.16791586346015208,0.01659941455031655,0.10205002459143331
2024-02-29,0.11381101098068203,0.17236428904314827,0.026807530145644742,0.10605300432646536
2024-03-31,0.11818014643512287,0.17474767065968932,0.036909873566113305,0.10887025733242428
2024-04-30,0.08845213274321972,0.1589404323350152,0.016816148150627486,0.10085335847618149
2024-05-31,0.1023894419478737,0.1842642238542722,0.02503004382633689,0.12281204462485062
2024-06-30,0.10884798831759479,0.17723674004521017,0.02945005646682164,0.11475392852100796
2024-07-31,0.10113379834544611,0.17466870199596052,0.028120677967857555,0.11525670040362601
2024-08-31,0.09628651734013727,0.17858514675006698,0.02777784729083388,0.1182227645563434
2024-09-30,0.12555429001045448,0.18434589062111906,0.06147213092728232,0.12690764897604367
2024-10-31,0.10280475399897004,0.17674715297714005,0.037893365290136094,0.11597295259622964
2024-11-30,0.11490550099785102,0.17992419211636146,0.044644536840276805,0.11494697394657649
2024-12-31,0.1023366730205888,0.16989494761969537,0.030156159842899433,0.10122723470866579
2025-01-31,0.1385205476903788,0.1718173669060643,0.06093736138244332,0.10939155224774622
2025-02-28,0.1408953862177149,0.18211792312459685,0.07245482681243165,0.11909566730371313
2025-03-31,0.11257580453351523,0.1917342653482761,0.06365443153190298,0.13371171340774457
2025-04-30,0.1575680815361049,0.16663952174678265,0.09557362562144722,0.11107252299405479
2025-05-31,0.18760117835479173,0.16944945092994668,0.11606012176394853,0.1133073300854277
2025-06-30,0.23764800621157045,0.17095413719587893,0.16586241218502384,0.11628324882867735
2025-07-31,0.21102226406824776,0.1582477349085063,0.14924513738907175,0.10205889003622604
2025-08-31,0.23764051001774789,0.14603543973163613,0.17206809287265323,0.09421834829506692
2025-09-30,0.3007982292371827,0.17101995824077365,0.23777456180430212,0.1140809341895519
2025-10-31,0.2990527253464421,0.18553953865569017,0.2513795194118542,0.12720164863257266
2025-11-30,0.27486021012385065,0.16803573016468953,0.20856521290408048,0.10793167938176262
2025-12-31,0.3007807482185101,0.15708974088533334,0.23060191735798208,0.10098595761060869
2026-01-31,0.28043476344567764,0.16661296024878203,0.21493576622546562,0.1116813694117409
2026-02-28,0.289713254420098,0.16786672393041835,0.24052782900878933,0.11541329086102015
2026-03-31,0.23362881109662226,0.14872185995902543,0.1883876130273192,0.09898806745382105
2026-04-30,0.2728729128802996,0.16064331602438253,0.23010948084617833,0.11087725635364043
2026-05-31,0.28426129447964166,0.173266846992004,0.25487797580806726,0.12360611903246799
2026-06-30,0.25352221053197765,0.16140730650819335,0.2291874289504774,0.11498878682825597
2026-07-31,0.2266810462524882,0.1480160426630095,0.19938081048257228,0.10665009826811955
