point,sharpe,expected_return_pct,volatility_pct,weight_QQQ_pct,weight_SPMO_pct,weight_GDX_pct,weight_GLD_pct,weight_SLV_pct,weight_AIA_pct,weight_XLE_pct,weight_PTF_pct,weight_QLD_pct
72,0.9680911567859596,26.104797250517997,24.53162296137858,0.0,29.767775443178397,0.0,20.232224556821603,0.0,0.0,0.0,0.0,50.0
73,0.9646954716105186,26.2440519363653,24.762324110929136,0.0,31.597913029920967,0.0,18.40208697007903,0.0,0.0,0.0,0.0,50.0
74,0.9611666318795681,26.383306622212594,24.998117730353297,0.0,33.42805061666346,0.0,16.57194938333654,0.0,0.0,0.0,0.0,50.0
75,0.9575202760823075,26.522561308059895,25.238746282154505,0.0,34.7091153911329,0.0,14.951999428019791,0.0,0.0,0.0,0.3388851808473185,50.0
76,0.9538206184382669,26.661815993907194,25.48263847944939,0.0,34.91867326098384,0.0,13.742227309419853,0.0,0.0,0.0,1.3390994295963097,50.0
77,0.9500898464853105,26.801070679754496,25.729272626357286,0.0,35.12823113083468,0.0,12.532455190819949,0.0,0.0,0.0,2.339313678345381,50.0
78,0.9463328724612025,26.94032536560179,25.978570628814012,0.0,35.33778900068556,0.0,11.322683072220045,0.0,0.0,0.0,3.3395279270943936,50.0
79,0.942554317324183,27.0795800514491,26.2304565339396,0.0,35.54734687053655,0.0,10.112910953620064,0.0,0.0,0.0,4.3397421758433845,50.0
80,0.9387713708392414,27.218834737296394,26.48449399886312,0.0,35.85921657905281,0.5358118010992243,8.493666811850018,0.0,0.0,0.0,5.111304807997955,50.0
81,0.9350171239825553,27.358089423143696,26.73976634422597,0.0,36.20382475393713,1.2430764551498077,6.743396913588075,0.0,0.0,0.0,5.809701877324996,50.0
82,0.931293742443157,27.497344108990994,26.996202125266123,0.0,36.548432928821285,1.9503411092003895,4.993127015326203,0.0,0.0,0.0,6.508098946652139,50.0
83,0.9276019495747849,27.636598794838303,27.253768501054804,0.0,36.89304110370558,2.6576057632510173,3.2428571170641725,0.0,0.0,0.0,7.206496015979235,50.0
84,0.9239423796861277,27.775853480685598,27.512433718346145,0.0,37.2376492785898,3.364870417301613,1.4925872188022777,0.0,0.0,0.0,7.904893085306311,50.0
