point,sharpe,expected_return_pct,volatility_pct,weight_QQQ_pct,weight_SPY_pct,weight_EWY_pct,weight_EEM_pct,weight_EWJ_pct,weight_TLT_pct,weight_GLD_pct
77,0.9634664672467207,20.478774837472837,17.270234766345244,19.920951912019806,0.0,20.079048087980205,0.0,0.0,0.0,60.0
78,0.9564362487289241,20.625324482125713,17.550403119719604,18.55204487518573,0.0,21.447955124814282,0.0,0.0,0.0,60.0
79,0.9493709864326704,20.771874126778588,17.83537901424877,17.183137838351605,0.0,22.816862161648395,0.0,0.0,0.0,60.0
80,0.9422897442675581,20.91842377143146,18.124935686407404,15.814230801517551,0.0,24.185769198482454,0.0,0.0,0.0,60.0
81,0.9352095282031037,21.06497341608433,18.418857098858286,14.44532376468345,0.0,25.55467623531655,0.0,0.0,0.0,60.0
82,0.9281454395860853,21.21152306073721,18.716937627645656,13.076416727849324,0.0,26.92358327215067,0.0,0.0,0.0,60.0
83,0.9211108252641159,21.358072705390082,19.018981718889446,11.707509691015298,0.0,28.292490308984707,0.0,0.0,0.0,60.0
84,0.9141174227111692,21.50462235004296,19.32480352363207,10.338602654181177,0.0,29.661397345818823,0.0,0.0,0.0,60.0
85,0.9071754988448132,21.651171994695833,19.634226518194488,8.9696956173471,0.0,31.030304382652908,0.0,0.0,0.0,60.0
86,0.9002939816356182,21.79772163934871,19.947083116230772,7.600788580513017,0.0,32.39921141948698,0.0,0.0,0.0,60.0
87,0.8934805839450944,21.944271284001587,20.26321427762941,6.231881543678865,0.0,33.768118456321126,0.0,0.0,0.0,60.0
88,0.8867419192984929,22.09082092865446,20.582469118492245,4.862974506844835,0.0,35.137025493155164,0.0,0.0,0.0,60.0
89,0.880083609511833,22.23737057330733,20.90470452562073,3.4940674700107657,0.0,36.505932529989245,0.0,0.0,0.0,60.0
90,0.8735103842570779,22.383920217960203,21.22978477824461,2.1251604331766987,0.0,37.87483956682331,0.0,0.0,0.0,60.0
91,0.8670261727732398,22.530469862613078,21.557581179133322,0.756253396342609,0.0,39.2437466036574,0.0,0.0,0.0,60.0
92,0.857243534296169,22.677019507265957,21.974545149659992,0.0,0.0,41.059595927944144,0.0,0.0,0.0,58.940404072055856
93,0.8432528688903477,22.823569151918825,22.51292239097823,0.0,0.0,43.42714624691356,0.0,0.0,0.0,56.57285375308644
94,0.8292669162100021,22.970118796571704,23.069334690673234,0.0,0.0,45.794696565883115,0.0,0.0,0.0,54.20530343411688
95,0.815361258247165,23.116668441224576,23.642508750103364,0.0,0.0,48.16224688485255,0.0,0.0,0.0,51.83775311514744
96,0.8015983992520466,23.26321808587745,24.231255133968098,0.0,0.0,50.52979720382209,0.0,0.0,0.0,49.4702027961779
97,0.7880292127699541,23.40976773053032,24.834466355783054,0.0,0.0,52.897347522791485,0.0,0.0,0.0,47.10265247720851
98,0.7746943671431553,23.5563173751832,25.451113952554465,0.0,0.0,55.26489784176103,0.0,0.0,0.0,44.735102158238966
99,0.7616256812593153,23.702867019836074,26.080244863030526,0.0,0.0,57.63244816073054,0.0,0.0,0.0,42.367551839269446
100,0.748847570340102,23.84941841113884,26.720972925678716,0.0,0.0,59.99997635919476,0.0,0.0,0.0,40.000039115460595
