portfolio,rank,date,month_since_bottom,recovery_progress_pct,drawdown,maximum_drawdown,recovered
provided,19,2026-04-30,1,100.0,0.0,-0.006972386294370692,True
provided,20,2019-10-31,0,0.0,-0.006795261289276655,-0.006795261289276655,True
provided,20,2019-11-30,1,100.0,0.0,-0.006795261289276655,True
provided,21,2022-01-31,0,0.0,-0.004054545771961959,-0.004054545771961959,True
provided,21,2022-02-28,1,100.0,0.0,-0.004054545771961959,True
provided,22,2021-11-30,0,0.0,-0.0032662922866741884,-0.0032662922866741884,True
provided,22,2021-12-31,1,100.0,0.0,-0.0032662922866741884,True
benchmark,1,2020-03-31,0,0.0,-0.17409886586047785,-0.17409886586047785,True
benchmark,1,2020-04-30,1,58.613311110246315,-0.07205375597426555,-0.17409886586047785,True
benchmark,1,2020-05-31,2,95.52635399534903,-0.00778856695670993,-0.17409886586047785,True
benchmark,1,2020-06-30,3,87.08473576506313,-0.022485328555909012,-0.17409886586047785,True
benchmark,1,2020-07-31,4,100.0,0.0,-0.17409886586047785,True
benchmark,2,2022-06-30,0,0.0,-0.13403058170899118,-0.13403058170899118,True
benchmark,2,2022-07-31,1,63.574226540985904,-0.048821676059115915,-0.13403058170899118,True
benchmark,2,2022-08-31,2,59.37887733189998,-0.05444472700877734,-0.13403058170899118,True
benchmark,2,2022-09-30,3,36.0934058765916,-0.08565437985400826,-0.13403058170899118,True
benchmark,2,2022-10-31,4,87.14461155752747,-0.01723015191039634,-0.13403058170899118,True
benchmark,2,2022-11-30,5,75.4876909481997,-0.03285399041243364,-0.13403058170899118,True
benchmark,2,2022-12-31,6,0.4983870641114783,-0.1333625906278002,-0.13403058170899118,True
benchmark,2,2023-01-31,7,25.477374257455004,-0.09988310878754747,-0.13403058170899118,True
benchmark,2,2023-02-28,8,54.76334257400538,-0.06063095509376415,-0.13403058170899118,True
benchmark,2,2023-03-31,9,68.70321085534391,-0.04194726854681896,-0.13403058170899118,True
benchmark,2,2023-04-30,10,100.0,0.0,-0.13403058170899118,True
benchmark,3,2018-12-31,0,0.0,-0.13221939349641643,-0.13221939349641643,True
benchmark,3,2019-01-31,1,47.91284004605311,-0.06886932698061687,-0.13221939349641643,True
benchmark,3,2019-02-28,2,74.74031731164837,-0.03339819924965781,-0.13221939349641643,True
