point,expected_return,volatility,sharpe,weight_133690,weight_402970,weight_069500,weight_168580,weight_200250,weight_101280,weight_TLT,weight_385560,weight_GLD
83,0.23722657625859472,0.14774842954516582,1.3457452595907706,0.20104456398407233,0.0,0.1989554360159277,0.0,0.0,0.0,0.0,0.0,0.6
84,0.23912223478763422,0.15084136772906023,1.3307185570073319,0.18252953809454503,0.0,0.21747046190545502,0.0,0.0,0.0,0.0,0.0,0.6
85,0.24101789331667373,0.15408767016588445,1.314985589128132,0.16401451220501725,0.0,0.2359854877949827,0.0,0.0,0.0,0.0,0.0,0.6
86,0.24291355184571325,0.1574778526313884,1.29871420547134,0.14549948631548992,0.0,0.2545005136845101,0.0,0.0,0.0,0.0,0.0,0.6
87,0.24480921037475278,0.16100282648171813,1.2820544042559667,0.12698446042596243,0.0,0.2730155395740376,0.0,0.0,0.0,0.0,0.0,0.6
88,0.2467048689037923,0.1646539349492665,1.2651385548834306,0.10846943453643443,0.0,0.2915305654635656,0.0,0.0,0.0,0.0,0.0,0.6
89,0.24860052743283184,0.168422975115981,1.2480820962928076,0.08995440864690715,0.0,0.31004559135309295,0.0,0.0,0.0,0.0,0.0,0.6
90,0.25049618596187134,0.17230220803293708,1.2309845636750019,0.07143938275737939,0.0,0.3285606172426207,0.0,0.0,0.0,0.0,0.0,0.6
91,0.2523918444909108,0.17628435929656014,1.2139308204008072,0.052924356867852365,0.0,0.3470756431321477,0.0,0.0,0.0,0.0,0.0,0.6
92,0.25428750301995046,0.18036261216127383,1.1969923968538447,0.03440933097832381,0.0,0.36559066902167625,0.0,0.0,0.0,0.0,0.0,0.6
93,0.25618316154898996,0.1845305950029519,1.1802288610151566,0.015894305088796013,0.0,0.38410569491120405,0.0,0.0,0.0,0.0,0.0,0.6
94,0.2580788200780295,0.18915800371425687,1.161378256157104,0.0,0.0,0.40460944580082175,0.0,0.0,0.0,0.0,0.0,0.5953905541991782
95,0.259974478607069,0.19637596923016015,1.1283440223847465,0.0,0.0,0.4371745356473807,0.0,0.0,0.0,0.0,0.0,0.5628254643526194
96,0.2618701371361085,0.20404339795266097,1.0952342089585714,0.0,0.0,0.4697396254939413,0.0,0.0,0.0,0.0,0.0,0.5302603745060585
97,0.263765795665148,0.21211155376384389,1.0625115137757168,0.0,0.0,0.5023047153405001,0.0,0.0,0.0,0.0,0.0,0.49769528465949997
98,0.2656614541941876,0.2205364601765825,1.0305172506442217,0.0,0.0,0.5348698051870611,0.0,0.0,0.0,0.0,0.0,0.46513019481293905
99,0.26755711272322713,0.22927879389377392,0.9994918467827965,0.0,0.0,0.5674348950336212,0.0,0.0,0.0,0.0,0.0,0.43256510496637895
100,0.2694525169273203,0.23830381797527453,0.969592897437703,0.0,0.0,0.6000010123670882,0.0,0.0,0.0,0.0,0.0,0.39999764818041805
