point,expected_return,volatility,sharpe,weight_SPY,weight_QQQ,weight_TLT,weight_GLD,weight_CPER,weight_MCHI,weight_EWY
87,0.16039020036473475,0.1355585703702178,1.0609696849507797,0.3236849938018794,0.5,0.0,0.1763150061981206,0.0,0.0,0.0
88,0.16145482164620806,0.13668114331533526,1.060044944497368,0.3372476856084067,0.5,0.0,0.16275231439159332,0.0,0.0,0.0
89,0.16251944292768133,0.1378496334254039,1.0587824764872928,0.35081037741493387,0.5,0.0,0.14918962258506605,0.0,0.0,0.0
90,0.1635840642091546,0.1390628832342057,1.057200844130964,0.36437306922146107,0.5,0.0,0.13562693077853893,0.0,0.0,0.0
91,0.1646486854906279,0.14031973172602463,1.0553185713973037,0.3779357610279885,0.5,0.0,0.12206423897201152,0.0,0.0,0.0
92,0.16571330677210117,0.1416190181094255,1.053154033240031,0.3914984528345154,0.5,0.0,0.10850154716548467,0.0,0.0,0.0
93,0.16677792805357447,0.14295958530036787,1.0507253575988182,0.4050611446410427,0.5,0.0,0.09493885535895732,0.0,0.0,0.0
94,0.16784254933504775,0.14434028311108998,1.048050339155516,0.41862383644756995,0.5,0.0,0.08137616355242998,0.0,0.0,0.0
95,0.16890717061652105,0.14575997114532904,1.045146364621356,0.4321865282540974,0.5,0.0,0.06781347174590256,0.0,0.0,0.0
96,0.16997179189799433,0.14721752140402913,1.0420303491614769,0.4457492200606248,0.5,0.0,0.05425077993937529,0.0,0.0,0.0
97,0.1710364131794676,0.14871182060873805,1.0387186834274058,0.4593119118671518,0.5,0.0,0.040688088132848146,0.0,0.0,0.0
98,0.17210103446094088,0.1502417722524142,1.0352271905643404,0.4728746036736793,0.5,0.0,0.027125396326320727,0.0,0.0,0.0
99,0.17316565574241416,0.15180629838938892,1.0315710924856698,0.48643729548020653,0.5,0.0,0.013562704519793448,0.0,0.0,0.0
100,0.17423033229035387,0.153404407881985,1.027764898026782,0.49998988865765004,0.5000074831361979,1.3290518216611642e-06,0.0,1.7340733770275003e-06,0.0,0.0
