point,sharpe,expected_return_pct,volatility_pct,weight_QQQ_pct,weight_SPMO_pct,weight_AIA_pct,weight_GLD_pct,weight_XLE_pct,weight_144600_pct,weight_SCHD_pct
59,1.306689494618898,20.340886996242467,12.62840506912814,22.50896621009692,37.461206746824075,0.0,36.63960972418434,3.3902173188946643,0.0,0.0
60,1.301628982053458,20.400122902506137,12.723011220723803,22.912803436119408,38.100008718363114,0.0,35.77254186269952,3.214645982817959,0.0,0.0
61,1.2963298311070326,20.459358808769803,12.82071557047805,23.31664066214198,38.738810689902124,0.0,34.90547400121463,3.0390746467412537,0.0,0.0
62,1.290808287512957,20.518594715033476,12.92144783835327,23.720477888164385,39.377612661441255,0.0,34.03840613972981,2.8635033106645493,0.0,0.0
63,1.2850802927018437,20.57783062129714,13.025137773675265,24.12431511418689,40.01641463298032,0.0,33.17133827824495,2.687931974587841,0.0,0.0
64,1.2791614322378146,20.637066527560805,13.131715314113068,24.528152340209356,40.655216604519346,0.0,32.30427041676015,2.5123606385111454,0.0,0.0
65,1.2730668910766654,20.696302433824478,13.241110732954137,24.931989566231895,41.29401857605842,0.0,31.437202555275245,2.3367893024344313,0.0,0.0
66,1.2668114154117396,20.755538340088147,13.3532547746812,25.33582679225434,41.9328205475975,0.0,30.57013469379044,2.1612179663577242,0.0,0.0
67,1.2604092808129332,20.814774246351814,13.468078778968112,25.73966401827676,42.571622519136646,0.0,29.70306683230558,1.9856466302810096,0.0,0.0
68,1.2538742663167868,20.874010152615483,13.585514793307896,26.143501244299255,43.21042449067569,0.0,28.835998970820754,1.8100752942043041,0.0,0.0
69,1.2472196340900097,20.93324605887915,13.70549567456924,26.54733847032179,43.84922646221473,0.0,27.96893110933588,1.6345039581275989,0.0,0.0
70,1.2404581142642142,20.99248196514282,13.827955179846233,26.951175696344258,44.48802843375383,0.0,27.10186324785101,1.4589326220508925,0.0,0.0
71,1.2336018945247726,21.051717871406485,13.95282804702287,27.35501292236665,45.12683040529294,0.0,26.234795386366223,1.2833612859741879,0.0,0.0
72,1.2266626140305652,21.11095377767015,14.080050065517934,27.758850148389325,45.76563237683185,0.0,25.36772752488134,1.1077899498974906,0.0,0.0
73,1.219651361242589,21.170189683933824,14.209558137709527,28.162687374411703,46.40443434837103,0.0,24.500659663396487,0.9322186138207718,0.0,0.0
74,1.212578675246911,21.22942559019749,14.341290331562012,28.56652460043419,47.04323631991007,0.0,23.633591801911667,0.7566472777440744,0.0,0.0
75,1.2054545501700704,21.288661496461156,14.475185924992912,28.97036182645674,47.68203829144908,0.0,22.766523940426804,0.5810759416673642,0.0,0.0
76,1.1982884423017581,21.347897402724822,14.611185442523936,29.37419905247912,48.32084026298824,0.0,21.899456078941977,0.40550460559066004,0.0,0.0
77,1.1910892795594559,21.407133308988495,14.749230684760667,29.778036278501702,48.959642234527195,0.0,21.03238821745715,0.22993326951395104,0.0,0.0
78,1.1838654729518594,21.46636921525216,14.88926475123939,30.1818735045241,49.598444206066375,0.0,20.165320355972273,0.05436193343724728,0.0,0.0
79,1.1766211924916161,21.525605121515834,15.03127979995241,30.598739974810517,50.17401416594479,0.0,19.227245859244697,0.0,0.0,0.0
80,1.169353221386564,21.5848410277795,15.175361853552857,31.021450009160535,50.721224820899835,0.0,18.25732516993964,0.0,0.0,0.0
81,1.1620688777980202,21.64407693404317,15.321462019669632,31.444160043510315,51.2684354758552,0.0,17.287404480634482,0.0,0.0,0.0
82,1.1547757448230902,21.70331284030683,15.469523118900327,31.866870077860277,51.815646130810286,0.0,16.317483791329433,0.0,0.0,0.0
83,1.1474809159317623,21.762548746570502,15.619489386798355,32.28958011221018,52.36285678576552,0.0,15.347563102024308,0.0,0.0,0.0
