point,expected_return,volatility,sharpe,weight_QQQ,weight_SPMO,weight_AIA,weight_GLD,weight_XLE,weight_144600,weight_SCHD,weight_138920
76,0.19275423582192225,0.12956505781221123,1.1913660275553655,0.47180228818990677,0.22699658799261405,0.0,0.30119697598634987,1.2492700576264005e-06,0.0,0.0,2.392098539484603e-06
77,0.19359013338262787,0.1310816267440688,1.1839592599764808,0.48610173631340087,0.22633435436887978,0.0,0.2875597613914974,1.2492987915511082e-06,0.0,0.0,2.392153481100937e-06
78,0.1944260309450632,0.1326603462008519,1.1761706329532728,0.5004011861577311,0.2256721186639428,0.0,0.27392254725149534,1.249299015354635e-06,0.0,0.0,2.3921538766414637e-06
79,0.1952619285074772,0.13429902442066813,1.168043488014564,0.5147006360149022,0.2250098829434949,0.0,0.26028533311465263,1.2492990080944288e-06,0.0,0.0,2.3921538767009584e-06
80,0.19609782606993434,0.13599549400084796,1.1596192921123116,0.529000085872243,0.2243476472229519,0.0,0.24664811897795835,1.2492990200123301e-06,0.0,0.0,2.392153905479611e-06
81,0.19693372363235126,0.13774761972060495,1.150937463512695,0.5432995357295646,0.22368541150231722,0.0,0.2330109048411783,1.2492990132532694e-06,0.0,0.0,2.3921538948313997e-06
82,0.19776962119477173,0.1395533052665598,1.1420352481379366,0.5575989855867773,0.22302317578178765,0.0,0.21937369070447793,1.2492989640070565e-06,0.0,0.0,2.3921538761072493e-06
83,0.19860551875725221,0.14141049892045493,1.1329476410458441,0.5718984354443306,0.22236094006097995,0.0,0.20573647656786526,1.2492991040946493e-06,0.0,0.0,2.3921539029227945e-06
84,0.19944141631964474,0.14331719827362904,1.1237073475714958,0.5861978853015277,0.22169870434044917,0.0,0.19209926243103398,1.2492990285297294e-06,0.0,0.0,2.392153873930796e-06
85,0.20027731388207015,0.14527145404052924,1.1143447786424696,0.6004973351587681,0.22103646861991272,0.0,0.1784620482942956,1.249299016591811e-06,0.0,0.0,2.3921538649669373e-06
86,0.20111321144449068,0.14727137304672236,1.1048880749326675,0.6147967850162037,0.22037423289915306,0.0,0.1648248341576604,1.2492989023148516e-06,0.0,0.0,2.3921538528435496e-06
87,0.2019491090069259,0.1493151204703073,1.0953631548202332,0.6290962348734606,0.21971199717870316,0.0,0.1511876200207949,1.2492989295399533e-06,0.0,0.0,2.3921538959993293e-06
88,0.20278500656938536,0.15140092141406222,1.085793781489561,0.6433956847308149,0.21904976145799168,0.0,0.13755040588427941,1.249298997763331e-06,0.0,0.0,2.3921538657259813e-06
89,0.20362090413179632,0.15352706188473675,1.0762016449558314,0.6576951345879998,0.2183875257374703,0.0,0.12391319174751728,1.2492989767324372e-06,0.0,0.0,2.3921538363544854e-06
90,0.20445680169425656,0.15569188925205474,1.066606455261176,0.6719945844453783,0.2177252900169134,0.0,0.11027597761080632,1.2492989883787408e-06,0.0,0.0,2.3921538805857484e-06
91,0.20529269925669885,0.1578938122560748,1.0570260435527026,0.6862940343027102,0.21706305429629447,0.0,0.09663876347407951,1.249299054987496e-06,0.0,0.0,2.3921538803314323e-06
92,0.20612859681909806,0.16013130062734376,1.0474764682217865,0.7005934841601537,0.21640081857551405,0.0,0.08300154933732726,1.2492989350099667e-06,0.0,0.0,2.392153865730526e-06
93,0.20696449438155537,0.1624028843784342,1.0379721237126818,0.7148929340173831,0.21573858285504247,0.0,0.06936433520055067,1.2492990869688137e-06,0.0,0.0,2.3921538847654414e-06
94,0.20780039194397137,0.16470715282047516,1.0285258500121754,0.7291923838747538,0.2150763471343062,0.0,0.055727121063900736,1.249299019818405e-06,0.0,0.0,2.3921538511169856e-06
95,0.20863628950641122,0.16704275335374297,1.0191490412019701,0.7434918337321372,0.2144141114137361,0.0,0.04208990692718398,1.2492989193453504e-06,0.0,0.0,2.3921538883846895e-06
96,0.20947218706885198,0.16940839007481803,1.009851751776225,0.7577912835892643,0.21375187569334095,0.0,0.02845269279045184,1.2492989658157427e-06,0.0,0.0,2.3921538908613706e-06
97,0.2103080846312637,0.17180282223948923,1.000642799717304,0.7720907334467195,0.2130896399725569,0.0,0.014815478653666553,1.249298945850506e-06,0.0,0.0,2.392153877753822e-06
98,0.21114398219373587,0.17422486261479309,0.9915298655707546,0.7863901833041329,0.21242740425189066,0.0,0.0011782645170819775,1.2492990103864067e-06,0.0,0.0,2.3921539043618417e-06
99,0.21197995149220197,0.17696338563180017,0.9809098265511595,0.888335336735703,0.1117146190048975,-5.832900379153944e-06,-6.3953671531303215e-06,-5.478035038822303e-06,-6.640896993422335e-06,-6.233522839292966e-06,-1.9352000157077026e-05
100,0.2128158497453749,0.18044007331073972,0.9666423813672134,0.9994411727402418,0.000601852712986326,-5.023710582200247e-06,-5.508147072933808e-06,-4.718075281884015e-06,-5.7196150263719876e-06,-5.3687552418623565e-06,-1.666732524297947e-05
