point,ex_ante_sharpe,ex_post_sharpe,cagr_pct,monthly_gain_to_pain_ratio,pain_ratio,expected_return_pct,volatility_pct,maximum_drawdown_pct,mdd_depth_pct,tuw_pct,pain_area_pct_months,pain_index_pct,max_underwater_months,observations,delta_cagr_pct,delta_sharpe,delta_monthly_gain_to_pain_ratio,delta_pain_ratio,delta_mdd_depth_pct,delta_tuw_pct,delta_pain_index_pct,mdd_cost_per_0_10_sharpe,tuw_cost_per_0_10_sharpe,pain_cost_per_0_10_sharpe,segment
22,1.0313673504936662,1.5195318604128745,12.291550953107766,1.8553915668640788,10.08539755270555,11.951332513286602,7.865141116580002,-5.363513924158758,5.363513924158758,51.724137931034484,70.68734291877293,1.2187472917029816,12,58,0.18590795600952248,0.015667607128570404,0.02737682557599186,0.10018362549886994,0.020326972606731886,0.0,0.006390392256487409,0.12973884550414194,0.0,0.04078728936746388,gmv_to_max_sharpe
23,1.0484498109062992,1.5345381504566982,12.477496707049873,1.8822704855055417,10.167096696475427,12.120909496767084,7.898734543132567,-5.387472413651961,5.387472413651961,51.724137931034484,71.18008519184951,1.2272428481353364,12,58,0.18594575394210722,0.0150062900438237,0.026878918641462857,0.08169914376987819,0.023958489493203672,0.0,0.008495556432354778,0.1596563136074031,0.0,0.05661330287196059,gmv_to_max_sharpe
24,1.0650183367753103,1.5488803342797335,12.663478753725087,1.909165202628922,10.247629650891962,12.29048648024756,7.935078138856308,-5.411505945698602,5.411505945698602,51.724137931034484,71.67333254008894,1.235747112760154,12,58,0.185982046675214,0.014342183823035315,0.02689471712338043,0.08053295441653496,0.024033532046640715,0.0,0.008504264624817681,0.16757233307831337,0.0,0.05929546524957227,gmv_to_max_sharpe
25,1.0810679103354122,1.56256002143783,12.849496426275596,1.9360757321670015,10.327018122784969,12.460063463728044,7.974134300621996,-5.435614520298659,5.435614520298659,51.724137931034484,72.16708481218404,1.2442600829686905,12,58,0.18601767255050916,0.01367968715809642,0.026910529538079375,0.07938847189300624,0.02410857460005733,0.0,0.008512970208536474,0.17623630073870877,0.0,0.062230737517253915,gmv_to_max_sharpe
26,1.09659524785537,1.575580801526647,13.035549056458674,1.9630020880689503,10.40528327667141,12.629640447208525,8.015863378743337,-5.459798137452121,5.459798137452121,51.724137931034484,72.66134185598672,1.2527817561377022,12,58,0.18605263018307738,0.01302078008881713,0.026926355901948806,0.0782651538864414,0.024183617153461512,0.0,0.008521673169011645,0.18573093922561185,0.0,0.06544671756134234,gmv_to_max_sharpe
27,1.1115987383025827,1.5879481332821597,13.221635974647361,1.9887662389145053,10.482445751577536,12.799217430689003,8.0602238589708,-5.5096420942859385,5.5096420942859385,51.724137931034484,73.15610351850765,1.2613121296294423,12,58,0.18608691818868728,0.012367331755512634,0.025764150845555056,0.07716247490612638,0.04984395683381759,0.0,0.008530373491740129,0.40302918866553467,0.0,0.06897505185738861,gmv_to_max_sharpe
28,1.1260783711559554,1.599669223789528,13.407756509831126,2.0114133789519153,10.54895343018031,12.968794414169484,8.107172546238736,-5.611682740756629,5.611682740756629,50.0,73.71820178344583,1.2710034790249283,12,58,0.1861205351837647,0.011721090507368359,0.022647140037409974,0.06650767860277362,0.10204064647069089,-1.724137931034484,0.009691349395485993,0.8705729761795112,-14.709705807242255,0.08268300112002047,gmv_to_max_sharpe
29,1.1400356549778317,1.6107528999535894,13.593909989616337,2.0339774596856657,10.611177604109132,13.138371397649964,8.15666474853376,-5.713712667103177,5.713712667103177,50.0,74.30341935775581,1.2810934372026865,12,58,0.18615347978521157,0.011083676164061362,0.02256408073375038,0.06222417392882207,0.10202992634654784,0.0,0.010089958177758263,0.9205422897267443,0.0,0.09103440075662611,gmv_to_max_sharpe
30,1.153473528382296,1.6212094743438656,13.780095740226939,2.0564589372144213,10.67237646928796,13.30794838113044,8.208654459360611,-5.8157317555106225,5.8157317555106225,50.0,74.88918285755399,1.291192807888862,12,58,0.18618575061060127,0.010456574390276252,0.022481477528755622,0.06119886517882733,0.10201908840744522,0.0,0.01009937068617539,0.9756454131126779,0.0,0.09658393188085544,gmv_to_max_sharpe
31,1.166396265026372,1.6310506074449185,13.966313086505178,2.078858264303548,10.732572072963297,13.477525364610925,8.263094537406051,-5.917739888239382,5.917739888239382,50.0,75.47549212904042,1.3013015884317314,12,58,0.18621734627823905,0.009841133101052835,0.02239932708912651,0.060195603675337495,0.1020081327287592,0.0,0.010108780542869455,1.0365486543195523,0.0,0.102719681149196,gmv_to_max_sharpe
32,1.178809374206507,1.640289168225576,14.15256135191223,2.10117589041551,10.791785825663084,13.647102348091405,8.319936882137984,-6.019736947625676,6.019736947625676,50.0,76.06234701757285,1.311419776165049,12,58,0.18624826540705186,0.009238560780657545,0.022317626111961975,0.05921375269978668,0.101997059386294,0.0,0.01011818773331763,1.1040362433923876,0.0,0.10952125524250195,gmv_to_max_sharpe
33,1.1907194985700924,1.6489390947949114,14.338839858528619,2.123412261739937,10.8500385240083,13.816679331571889,8.379132604221718,-6.121722816081309,6.121722816081309,50.0,76.64974736766416,1.3215473684080028,12,58,0.18627850661638945,0.008649926569335387,0.02223637132442713,0.05825269834521585,0.10198586845563362,0.0,0.010127592242953787,1.1790373899494233,0.0,0.11708298517650811,gmv_to_max_sharpe
34,1.202134310355595,1.6570152567457925,14.525147927055016,2.145567821223356,10.907350372550539,13.986256315052367,8.44063218978438,-6.223697376094195,6.223697376094195,50.0,77.23769302298422,1.331684362465245,12,58,0.18630806852639736,0.008076161950881122,0.022155559483419296,0.057311848542239474,0.10197456001288607,0.0,0.010136994057242221,1.2626611580239606,0.0,0.12551746880380796,gmv_to_max_sharpe
35,1.213062407460466,1.6645333206052053,14.711484876813063,2.166579607462486,10.963115661340202,14.155833298532846,8.50438565770852,-6.358355052986986,6.358355052986986,48.275862068965516,77.83062308318736,1.341907294537713,12,58,0.18633694975804715,0.0075180638594127824,0.021011786239129915,0.05576528878966336,0.1346576768927905,-1.724137931034484,0.01022293207246805,1.791121749041758,-22.933270630254427,0.13597825535451807,gmv_to_max_sharpe
