date,year,month,series::Portfolio 1::return,series::Portfolio 1::balance,series::benchmark::return,series::benchmark::balance,asset::QQQ::return,asset::SPY::return,asset::GLD::return,asset::IEF::return
2017-08-31,2017,8,0.02114992177873327,32737.606115312097,0.002917587698734847,27167.877501710675,0.020736064113074715,0.002917587698734847,0.04198757511241591,0.014575537014656303
2017-07-31,2017,7,0.02566457707842602,32059.549158351514,0.020554281941190577,27088.843425359893,0.040613288585710894,0.020554281941190577,0.02313170169958645,0.003747954104796447
2017-06-30,2017,6,-0.01201758775579267,31257.34267792708,0.006374868391334276,26543.265659357534,-0.023179526811249462,0.006374868391334276,-0.02155534773928114,-0.005095859080337717
2017-05-31,2017,5,0.01637995845910869,31637.54970792026,0.014113000633419581,26375.12769151946,0.038972945343500154,0.014113000633419581,-0.0012419798017191397,0.008267686065485114
2017-04-30,2017,4,0.017448059761740284,31127.679608996455,0.009926311697068702,26008.075702653885,0.027270366159606096,0.009926311697068702,0.01726748147982482,0.011088119607904012
2017-03-31,2017,3,0.005252822241283084,30593.87583508267,0.0012499172016959825,25752.448868225056,0.020268442633587958,0.0012499172016959825,-0.00427746474772539,0.0008055371501551889
2017-02-28,2017,2,0.03519064740200519,30434.011383197547,0.03929162025007904,25720.300622044775,0.04375081637444955,0.03929162025007904,0.031847686784806095,0.0072361037920478655
2017-01-31,2017,1,0.03726571406967718,29399.42653034695,0.017894574467309354,24747.914946005087,0.0514007540391499,0.017894574467309354,0.05419215772584596,0.002194681999856174
2016-12-31,2016,12,0.003614757685439062,28343.19705314397,0.02027168558579584,24312.8468966998,0.011322529248386504,0.02027168558579584,-0.019149882681417818,-0.0011854196039029485
2016-11-30,2016,11,-0.016937782727843284,28241.112275500756,0.03683810319867864,23829.777146800283,0.004359108867924899,0.03683810319867864,-0.08356570639157301,-0.042272344303524445
2016-10-31,2016,10,-0.019901902288501392,28727.695744289114,-0.017336452695063898,22983.122508021897,-0.014571888935716926,-0.017336452695063898,-0.02944919584699579,-0.0149464104516841
2016-09-30,2016,9,0.0089629904593737,29311.04122267707,5.768383260607024e-05,23388.597827868616,0.022135438609499847,5.768383260607024e-05,0.006892135107908315,0.002374131943694291
2016-08-31,2016,8,-0.007270856930796698,29050.66043040088,0.0011977130833220606,23387.248761725932,0.010500610881806205,0.0011977130833220606,-0.03256316550912575,-0.010114044675974543
2016-07-31,2016,7,0.038594282081961855,29263.430647946392,0.03647112022795773,23359.2710571639,0.07150825985713394,0.03647112022795773,0.01984656031160892,0.00246499962951674
2016-06-30,2016,6,0.024204841787138158,28175.9982245281,0.003475836986283065,22537.31011050877,-0.022780058549931148,0.003475836986283065,0.08969501879279118,0.030876026183952243
