date,Portfolio 1_drawdown,benchmark_drawdown
2023-10-31,-0.05309743262770705,-0.09528895961645456
2023-11-30,0.0,-0.012649016824930248
2023-12-31,0.0,0.0
2024-01-31,0.0,0.0
2024-02-29,0.0,0.0
2024-03-31,0.0,0.0
2024-04-30,-0.01937847059774489,-0.040319511345176307
2024-05-31,0.0,0.0
2024-06-30,0.0,0.0
2024-07-31,0.0,0.0
2024-08-31,0.0,0.0
2024-09-30,0.0,0.0
2024-10-31,0.0,-0.008923538766048789
2024-11-30,0.0,0.0
2024-12-31,-0.012340863770285204,-0.02406006954082074
2025-01-31,0.0,0.0
2025-02-28,-0.0036542536879339282,-0.012694736490296066
2025-03-31,-0.01440751514679306,-0.06770680858991307
2025-04-30,0.0,-0.07578974101565727
2025-05-31,0.0,-0.01770780918263537
2025-06-30,0.0,0.0
2025-07-31,0.0,0.0
2025-08-31,0.0,0.0
2025-09-30,0.0,0.0
2025-10-31,0.0,0.0
2025-11-30,0.0,0.0
2025-12-31,0.0,0.0
2026-01-31,0.0,0.0
2026-02-28,0.0,-0.008642046247570034
2026-03-31,-0.06480229562376094,-0.0575948723923958
2026-04-30,0.0,0.0
2026-05-31,0.0,0.0
2026-06-30,-0.038338431658092365,-0.010292566443839024
2026-07-31,-0.056064238634716546,-0.009947970931022732
2026-08-31,-0.00841396358130253,0.0
