point,expected_return,volatility,sharpe,weight_133690,weight_SPY,weight_069500,weight_168580,weight_200250,weight_101280,weight_TLT,weight_385560,weight_132030
59,0.18042193361168346,0.11628011152152572,1.2214221689939178,0.01679599963584473,0.4969462472328107,0.09151357747765966,0.0,0.0,0.0,0.0,0.0,0.39474417565368486
60,0.18216245649618634,0.11879874359956227,1.2101780250688543,0.02748493693594539,0.4754162502090336,0.1031506964130369,0.0,0.0,0.0,0.0,0.0,0.3939481164419841
61,0.18390297938068922,0.12140745207426663,1.1985108764614627,0.03817387423604661,0.4538862531852558,0.11478781534841413,0.0,0.0,0.0,0.0,0.0,0.3931520572302834
62,0.18564350226519205,0.12410055660814286,1.1865271091727194,0.048862811536148666,0.43235625616147766,0.12642493428379079,0.0,0.0,0.0,0.0,0.0,0.3923559980185829
63,0.187384025149695,0.12687268293329,1.1743205402366013,0.05955174883625008,0.4108262591376999,0.13806205321916798,0.0,0.0,0.0,0.0,0.0,0.39155993880688206
64,0.18912454803419787,0.1297187649952238,1.1619731382236085,0.07024068613635127,0.3892962621139223,0.14969917215454503,0.0,0.0,0.0,0.0,0.0,0.39076387959518144
65,0.1908650709187007,0.13263404201801213,1.1495558833364052,0.08092962343645259,0.3677662650901446,0.161336291089922,0.0,0.0,0.0,0.0,0.0,0.3899678203834809
66,0.19260559380320363,0.13561405165077936,1.1371297025628724,0.09161856073655414,0.34623626806636654,0.17297341002529934,0.0,0.0,0.0,0.0,0.0,0.38917176117178
67,0.1943461166877065,0.13865462019420563,1.124746430252865,0.10230749803665591,0.3247062710425882,0.18461052896067648,0.0,0.0,0.0,0.0,0.0,0.3883757019600793
68,0.19608663957220937,0.1417518507470477,1.1124497574807626,0.11299643533675673,0.3031762740188113,0.1962476478960534,0.0,0.0,0.0,0.0,0.0,0.3875796427483786
69,0.19782716245671222,0.14490210996456157,1.1002761444225857,0.12368537263685894,0.28164627699503253,0.20788476683143034,0.0,0.0,0.0,0.0,0.0,0.38678358353667813
70,0.19956768534121513,0.14810201398733652,1.0882556787430948,0.13437430993696006,0.2601162799712551,0.21952188576680748,0.0,0.0,0.0,0.0,0.0,0.38598752432497735
71,0.20130820822571802,0.15134841398238466,1.076412869833393,0.14506324723706188,0.2385862829474768,0.23115900470218453,0.0,0.0,0.0,0.0,0.0,0.3851914651132768
72,0.20304873111022087,0.15463838163863478,1.0647673739161594,0.15575218453716294,0.21705628592369947,0.24279612363756153,0.0,0.0,0.0,0.0,0.0,0.38439540590157606
73,0.2047892539947238,0.15796919487546798,1.0533346488199222,0.166441121837265,0.19552628889992107,0.25443324257293853,0.0,0.0,0.0,0.0,0.0,0.38359934668987555
74,0.20652977687922666,0.16133832395418593,1.0421265398837527,0.17713005913736624,0.17399629187614302,0.266070361508316,0.0,0.0,0.0,0.0,0.0,0.38280328747817477
75,0.20827029976372952,0.1647434181266212,1.0311518002312965,0.187818996437467,0.15246629485236668,0.2777074804436924,0.0,0.0,0.0,0.0,0.0,0.3820072282664741
76,0.2100108226482324,0.16818229291068207,1.0204165497563231,0.19850793373756945,0.1309362978285872,0.2893445993790698,0.0,0.0,0.0,0.0,0.0,0.3812111690547734
77,0.21175134553273522,0.1716529180477304,1.0099246777635569,0.20919687103766976,0.1094063008048108,0.3009817183144467,0.0,0.0,0.0,0.0,0.0,0.38041510984307275
78,0.2134918684172381,0.1751534061697402,0.999678194447133,0.21988580833777133,0.08787630378103313,0.3126188372498237,0.0,0.0,0.0,0.0,0.0,0.3796190506313719
