point,expected_return,volatility,sharpe,weight_QQQ,weight_SPMO,weight_AIA,weight_GLD,weight_XLE,weight_144600,weight_SCHD
24,0.18267634364202293,0.10887558064799027,1.3251962946796858,0.09483952423079102,0.20648562465924972,0.041379827052998454,0.45257099677413365,0.0,0.0,0.2047240272828272
25,0.18326870250395796,0.10916725066500955,1.327081831183152,0.09860794250941837,0.21049963601564736,0.03865038517529558,0.4537394670072567,0.0016176513115763022,0.0,0.19688491798080562
26,0.18386106136589306,0.10946737808237601,1.328854644442296,0.10229120842318884,0.2141803130639178,0.03620236331992512,0.4551411417330688,0.004141187871012094,0.0,0.1880437855888873
27,0.18445342022782812,0.10977567677938019,1.3305187171394992,0.10597447433695917,0.2178609901121877,0.033754341464554964,0.4565428164588808,0.006664724430447753,0.0,0.17920265319696968
28,0.1850457790897632,0.11009207810819233,1.332075422896786,0.10965774025072951,0.22154166716045803,0.031306319609184716,0.4579444911846928,0.00918826098988357,0.0,0.17036152080505135
29,0.18563813795169826,0.11041651241394086,1.33352618323508,0.11334100616449992,0.22522234420872808,0.028858297753814436,0.4593461659105048,0.011711797549319225,0.0,0.16152038841313363
30,0.18623049681363332,0.11074890909983656,1.334872464469671,0.11702427207827033,0.22890302125699863,0.026410275898444018,0.4607478406363168,0.01423533410875508,0.0,0.15267925602121507
31,0.18682285567556842,0.11108919669174877,1.336115774616868,0.12070753799204072,0.23258369830526926,0.023962254043073616,0.4621495153621289,0.016758870668190966,0.0,0.14383812362929646
32,0.18741521453750346,0.11143730290212739,1.337257660320238,0.124390803905811,0.23626437535353892,0.021514232187703517,0.4635511900879408,0.01928240722762645,0.0,0.1349969912373793
33,0.18800757339943855,0.11179315469317079,1.3382997038044153,0.12807406981958105,0.23994505240180955,0.019066210332333307,0.46495286481375286,0.021805943787062253,0.0,0.12615585884546104
34,0.1885999322613736,0.11215667833914394,1.339243519863974,0.13175733573335166,0.2436257294500794,0.01661818847696305,0.46635453953956485,0.024329480346498025,0.0,0.11731472645354298
35,0.18919229112330865,0.11252779948775977,1.3400907528943973,0.13544060164712166,0.24730640649834987,0.014170166621592793,0.4677562142653768,0.026853016905933648,0.0,0.1084735940616253
36,0.18978464998524372,0.11290644322053989,1.3408430739716726,0.1391238675608924,0.2509870835466199,0.011722144766222421,0.4691578889911888,0.029376553465369493,0.0,0.09963246166970685
37,0.19037700884717879,0.11329253411207996,1.34150217798656,0.14280713347466212,0.2546677605948904,0.009274122910852467,0.47055956371700086,0.03190009002480515,0.0,0.09079132927778909
38,0.19096936770911388,0.11368599628814832,1.342069780839074,0.14649039938843236,0.25834843764316096,0.006826101055482106,0.47196123844281285,0.03442362658424092,0.0,0.08195019688587073
39,0.19156172657104897,0.1140867534825548,1.3425476166982269,0.15017366530220366,0.26202911469143086,0.004378079200111448,0.47336291316862494,0.03694716314367682,0.0,0.07310906449395224
40,0.192154085432984,0.11449472909273091,1.342937435331589,0.15385693121597335,0.26570979173970155,0.0019300573447412742,0.474764587894437,0.039470699703112545,0.0,0.06426793210203424
41,0.1927464442949191,0.11490988525238201,1.3432405434023582,0.1574020512277199,0.26954081156805226,0.0,0.4760151333047166,0.042086979702343257,0.0,0.05495502419716792
42,0.19333880315685417,0.1153333025066094,1.343445233971063,0.16043240718251603,0.27393204388387954,0.0,0.4767025354118103,0.045048843527260345,0.0,0.04388416999453391
43,0.1939311620187892,0.11576542797023202,1.3435473539870382,0.16346276313731284,0.2783232761997064,0.0,0.4773899375189037,0.048010707352177426,0.0,0.03281331579189968
