date,portfolio,market_type,benchmark_return,portfolio_return,active_return,benchmark_return_pct,portfolio_return_pct,active_return_pct
2022-02-28,Portfolio 2,down,-0.029516983607058456,0.009229264298594643,0.0387462479056531,-2.9516983607058456,0.9229264298594643,3.87462479056531
2022-03-31,Portfolio 2,up,0.03759046075111683,0.029287521209469786,-0.008302939541647042,3.7590460751116828,2.9287521209469785,-0.8302939541647042
2022-04-30,Portfolio 2,down,-0.08776902633846118,-0.07980280041079957,0.007966225927661608,-8.776902633846117,-7.980280041079957,0.7966225927661608
2022-05-31,Portfolio 2,up,0.0022572913461289534,0.004958040179607201,0.0027007488334782476,0.22572913461289534,0.4958040179607201,0.27007488334782476
2022-06-30,Portfolio 2,down,-0.08246056346608333,-0.0896273888951932,-0.007166825429109874,-8.246056346608333,-8.96273888951932,-0.7166825429109874
2022-07-31,Portfolio 2,up,0.09208741824487632,0.03837610340671782,-0.0537113148381585,9.208741824487632,3.837610340671782,-5.37113148381585
2022-08-31,Portfolio 2,down,-0.04080185087231036,-0.03741854224052942,0.0033833086317809416,-4.080185087231037,-3.741854224052942,0.33833086317809413
2022-09-30,Portfolio 2,down,-0.09244608407498522,-0.07717136301255491,0.015274721062430316,-9.244608407498522,-7.717136301255491,1.5274721062430316
2022-10-31,Portfolio 2,up,0.0812755552244191,0.04939722169121419,-0.031878333533204906,8.12755552244191,4.939722169121419,-3.1878333533204906
2022-11-30,Portfolio 2,up,0.055591599423751914,0.10603379892436057,0.05044219950060866,5.559159942375191,10.603379892436058,5.0442199500608655
2022-12-31,Portfolio 2,down,-0.05762816850720276,-0.02278014397741606,0.0348480245297867,-5.7628168507202755,-2.278014397741606,3.48480245297867
2023-01-31,Portfolio 2,up,0.06288739154288647,0.08684841705357518,0.02396102551068871,6.288739154288647,8.684841705357519,2.396102551068871
2023-02-28,Portfolio 2,down,-0.02514265353436773,-0.061610858922328066,-0.036468205387960334,-2.514265353436773,-6.161085892232807,-3.6468205387960335
2023-03-31,Portfolio 2,up,0.037077776932969986,0.07048521804058204,0.033407441107612054,3.7077776932969986,7.048521804058204,3.3407441107612055
2023-04-30,Portfolio 2,up,0.015974841370329118,0.00504123562983849,-0.010933605740490628,1.5974841370329118,0.504123562983849,-1.0933605740490628
2023-05-31,Portfolio 2,up,0.004616354139720835,-0.004889628082996672,-0.009505982222717507,0.4616354139720835,-0.4889628082996672,-0.9505982222717507
2023-06-30,Portfolio 2,up,0.0647997868231831,0.03342260956655383,-0.03137717725662927,6.47997868231831,3.342260956655383,-3.1377177256629274
2023-07-31,Portfolio 2,up,0.032733184457347075,0.05021368159538697,0.017480497138039897,3.2733184457347075,5.021368159538698,1.7480497138039897
2023-08-31,Portfolio 2,down,-0.016251943528180934,-0.03088631044307728,-0.014634366914896346,-1.6251943528180934,-3.088631044307728,-1.4634366914896346
2023-09-30,Portfolio 2,down,-0.04743453935938391,-0.04711498055187572,0.0003195588075081898,-4.7434539359383905,-4.711498055187572,0.03195588075081898
2023-10-31,Portfolio 2,down,-0.021708589051735117,-0.007326216329467464,0.014382372722267653,-2.1708589051735117,-0.7326216329467463,1.4382372722267653
2023-11-30,Portfolio 2,up,0.0913438546150167,0.08198238369236581,-0.009361470922650897,9.13438546150167,8.19823836923658,-0.9361470922650896
2023-12-31,Portfolio 2,up,0.04565525434007034,0.027126690311868394,-0.018528564028201945,4.565525434007034,2.7126690311868393,-1.8528564028201946
2024-01-31,Portfolio 2,up,0.015926520963537527,-0.019949165918371065,-0.03587568688190859,1.5926520963537527,-1.9949165918371063,-3.587568688190859
2024-02-29,Portfolio 2,up,0.05218676375735121,0.02877319143774793,-0.023413572319603275,5.218676375735121,2.8773191437747934,-2.3413572319603273
2024-03-31,Portfolio 2,up,0.03270214795505688,0.06634427482660149,0.03364212687154461,3.270214795505688,6.634427482660149,3.3642126871544606
2024-04-30,Portfolio 2,down,-0.040319683848860643,-0.003360096100720104,0.03695958774814054,-4.031968384886064,-0.3360096100720104,3.695958774814054
2024-05-31,Portfolio 2,up,0.05057972203460692,0.05337730491635961,0.0027975828817526846,5.057972203460692,5.337730491635961,0.2797582881752685
2024-06-30,Portfolio 2,up,0.03527997366128366,0.018325612300878667,-0.01695436136040499,3.527997366128366,1.8325612300878666,-1.6954361360404993
