point,expected_return,volatility,sharpe,weight_133690,weight_402970,weight_069500,weight_168580,weight_200250,weight_101280,weight_TLT,weight_385560,weight_132030
45,0.15851607349700236,0.09307615906823317,1.2905694338196296,0.15789770777611797,0.33286634882742605,0.0,0.0,0.0,0.14940766038767148,0.0,0.0,0.3598282830087845
46,0.16021184256519577,0.09439456633927651,1.2905087623491969,0.18402210996832316,0.31409595413990166,0.0,0.0,0.0,0.12973590475409666,0.0,0.0,0.3721460311376786
47,0.1619076116333892,0.09596617964977262,1.28704492038696,0.20394411156825823,0.3006643836529431,0.002837674697710938,0.0,0.0,0.11077274392966367,0.0,0.0,0.3817810861514241
48,0.16360338070158262,0.09766162912687477,1.2820649648667442,0.2101825060489989,0.2990112160201999,0.01193576826355213,0.0,0.0,0.09337287022781589,0.0,0.0,0.3854976394394331
49,0.16529914976977605,0.09943644639881209,1.276235492915656,0.21642090052973972,0.29735804838745705,0.02103386182939333,0.0,0.0,0.07597299652596785,0.0,0.0,0.3892141927274421
50,0.16699491883796946,0.10128645932551013,1.2696671609229924,0.22265929501048048,0.29570488075471396,0.030131955395234857,0.0,0.0,0.05857312282411957,0.0,0.0,0.39293074601545114
51,0.16869068790616287,0.10320762430430408,1.2624635166078737,0.22889768949122105,0.29405171312197076,0.03923004896107606,0.0,0.0,0.041173249122272035,0.0,0.0,0.3966472993034601
52,0.17038645697435634,0.10519604311923679,1.2547204768770686,0.23513608397196187,0.29239854548922756,0.0483281425269172,0.0,0.0,0.02377337542042436,0.0,0.0,0.4003638525914691
53,0.17208222604254975,0.10724797509937456,1.246526084361685,0.2413744784527028,0.2907453778564848,0.057426236092758653,0.0,0.0,0.0063735017185755,0.0,0.0,0.4040804058794782
54,0.17377799511074318,0.10936592564095031,1.2378916626098049,0.24557906558472378,0.28189346607585547,0.06667994233876032,0.0,0.0,0.0,0.0,0.0,0.40584752600066043
55,0.17547376417893662,0.11156786880705752,1.2286596316524643,0.24860806434987456,0.26888051127330204,0.07602359636504184,0.0,0.0,0.0,0.0,0.0,0.40648782801178157
56,0.17716953324713006,0.11385088269821854,1.2189163787932107,0.2516370631150254,0.2558675564707483,0.08536725039132342,0.0,0.0,0.0,0.0,0.0,0.40712813002290293
57,0.17886530231532344,0.11621018937402183,1.208762118758908,0.25466606188017615,0.24285460166819495,0.09471090441760482,0.0,0.0,0.0,0.0,0.0,0.40776843203402413
58,0.1805610713835169,0.11864123743326478,1.1982869268139416,0.25769506064532716,0.22984164686564132,0.10405455844388624,0.0,0.0,0.0,0.0,0.0,0.4084087340451454
59,0.1822568404517103,0.1211397078055515,1.187571073693069,0.26072405941047794,0.2168286920630877,0.11339821247016783,0.0,0.0,0.0,0.0,0.0,0.40904903605626663
60,0.18395260951990372,0.12370151525709082,1.1766855210397529,0.26375305817562883,0.20381573726053398,0.12274186649644943,0.0,0.0,0.0,0.0,0.0,0.40968933806738783
61,0.18564837858809716,0.1263228064474263,1.1656925233304962,0.2667820569407793,0.19080278245798066,0.132085520522731,0.0,0.0,0.0,0.0,0.0,0.4103296400785091
62,0.18734414765629062,0.1289999552820674,1.1546462922750294,0.26981105570593006,0.17778982765542697,0.14142917454901272,0.0,0.0,0.0,0.0,0.0,0.4109699420896302
63,0.18903991672448406,0.13172955620878948,1.143593689023797,0.27284005447108106,0.16477687285287315,0.15077282857529414,0.0,0.0,0.0,0.0,0.0,0.4116102441007516
64,0.19073568579267747,0.13450841600926564,1.132574917810173,0.27586905323623195,0.15176391805031966,0.1601164826015757,0.0,0.0,0.0,0.0,0.0,0.4122505461118728
65,0.19243145486087093,0.13733354454701333,1.1216242017399671,0.2788980520013828,0.13875096324776584,0.16946013662785736,0.0,0.0,0.0,0.0,0.0,0.41289084812299404
66,0.1941272239290643,0.14020214484999538,1.110770427296088,0.28192705076653385,0.12573800844521216,0.17880379065413862,0.0,0.0,0.0,0.0,0.0,0.41353115013411534
